hostname,n_planets,avg_radius_earth,avg_mass_jupiter
Kepler-205,2,1.575,3.1100000000000003
Kepler-414,2,2.36,16.7
Kepler-424,2,11.34,1271.2649999999999
KOI-12,2,12.893535,3670.9365000000003
Kepler-1093,2,1.955,4.48
K2-254,2,1.91,4.359999999999999
gam Lib,2,13.25,1010.21759165
Kepler-211,2,1.275,10.215
Kepler-903,2,2.2699999999999996,5.82
Kepler-173,2,1.86,4.345000000000001
Kepler-990,2,2.065,5.115
HD 148164,2,13.25,1015.46685
Kepler-589,2,1.6936361899999999,3.61
HD 163607,2,13.600000000000001,474.297709
HD 21693,2,3.57,12.8
Kepler-362,2,1.165,1.6575000000000002
Kepler-36,2,2.5885,5.48
Kepler-323,2,1.4755,5.35
TOI-216,2,9.05,98.367891965
HD 99492,2,4.93,21.7
Kepler-1350,2,2.125,5.2700000000000005
Kepler-239,2,2.42,6.445
HD 81817,2,12.0,7427.17312898
Kepler-200,2,1.8599999999999999,4.165
HD 75784,2,13.3,1055.1956
Kepler-1814,2,2.064806785,4.98
Kepler-165,2,2.275,5.795
Kepler-188,2,2.435,6.880000000000001
Kepler-153,2,2.7249999999999996,7.895
Kepler-633,2,1.9629999999999999,4.59
K2-59,2,2.355,6.145
HAT-P-2,2,11.5298795,3133.78809302
K2-5,2,2.085,5.02
HD 51608,2,3.745,13.54
HAT-P-44,2,13.461,691.5855
BD-11 4672,2,9.07,110.97975
TOI-2202,2,12.175587069999999,202.29778105500003
OGLE-2018-BLG-1011L,2,13.35,730.0
HD 133131 A,2,13.95,292.4036
Kepler-967,2,3.0,9.51
HD 155358,2,13.850000000000001,287.82585
Kepler-896,2,2.84,8.52
HD 203387,2,12.85,1742.49424138
Kepler-804,2,1.54,2.985
Kepler-69,2,1.975,4.61
TIC 139270665,2,10.064896275,850.6677313350001
HD 74698,2,9.56,74.5
Kepler-390,2,0.8049999999999999,0.4475
Kepler-383,2,1.28,2.1849999999999996
HD 11964,2,9.74,111.5
Kepler-370,2,1.75,3.7299999999999995
HD 116029,2,13.649999999999999,424.30305
Kepler-1050,2,1.54,2.99
Kepler-1802,2,1.9965000000000002,4.715
Kepler-270,2,1.89,4.24
Kepler-115,2,1.8450000000000002,4.295
TOI-2134,2,4.9799999999999995,25.51
GJ 849,2,13.850000000000001,299.23544519
Kepler-28,2,1.908,1.845
GJ 3512,2,14.3,145.24758200000002
Kepler-302,2,8.254999999999999,15.5
Kepler-1471,2,1.645,3.38
Kepler-1514,2,6.79769805,839.9412
WASP-18,2,11.239568035000001,1648.5248757
Kepler-155,2,2.165,5.335
Kepler-364,2,1.85,4.145
Kepler-263,2,2.5700000000000003,7.135
K2-316,2,1.58,3.17
LTT 3780,2,1.8575,5.25
Kepler-534,2,1.7335000000000003,3.835
HD 113538,2,13.5,204.99
Kepler-391,2,2.69,775.0
Kepler-343,2,2.215,5.5649999999999995
Kepler-1513,2,9.797,66.42613706
KELT-6,2,13.78585,672.21045
K2-348,2,2.965,9.155
Kepler-140,2,1.705,3.555
HD 35843,2,2.415,8.58
Kepler-1487,2,5.05,26.94
iot Dra,2,12.3,4357.42745997
Kepler-1600,2,2.5360325599999998,7.195
TOI-199,2,10.239637185,71.511391575
TOI-1782,2,2.1035,5.12
Kepler-349,2,1.93,49.5
Kepler-309,2,2.035,4.949999999999999
Kepler-297,2,4.705,45.3
Kepler-1245,2,1.44,2.67
Kepler-123,2,2.21,29.044999999999998
Kepler-266,2,3.185,10.555
Kepler-316,2,1.1099999999999999,1.4249999999999998
Kepler-388,2,0.835,0.5115
Kepler-466,2,2.05,5.3
Kepler-520,2,1.365,2.315
K2-407,2,1.3215,2.3049999999999997
HD 118203,2,12.589119,2213.674854755
TOI-5398,2,6.91,35.25
TOI-4495,2,3.2565,15.45
TOI-2458,2,3.005,11.765
Kepler-825,2,1.685,3.5
HD 4203,2,13.3,699.21045
LHS 1140,2,1.501,3.755
Kepler-212,2,1.915,4.635
LTT 1445 A,2,1.2435,2.135
Kepler-168,2,2.075,5.215
Kepler-145,2,3.4850000000000003,58.25
Kepler-1067,2,1.27341214,2.0685000000000002
Proxima Cen,2,0.856,0.6575
TOI-1468,2,1.7635,3.57
K2-18,2,2.51,8.215
HD 93351,2,6.995,2078.756695985
HD 156279,2,12.5,3048.292251535
GJ 1148,2,10.805,82.38
WASP-41,2,12.71495,640.42745
WASP-126,2,9.946793865,77.25
HD 87816,2,12.55,3009.83501429
HD 159868,2,13.65,474.52019
TOI-261,2,3.1966042850000003,10.355
OGLE-2014-BLG-1722L,2,9.795,69.5
Kepler-784,2,1.565,3.0700000000000003
HD 5278,2,3.47,13.1
HIP 5158,2,12.899999999999999,2615.5816
Kepler-2001,2,1.4300000000000002,2.545
Kepler-1894,2,1.205588795,1.895
GJ 328,2,9.105,409.57465078499996
Kepler-1834,2,1.3396917,2.355
Kepler-974,2,1.09,5.545
HD 62364,2,12.05,6944.55069295
Kepler-1693,2,1.13318351,1.552
HD 134987,2,13.7,385.85315
HD 217107,2,13.25,921.70341575
Kepler-195,2,1.79,3.9000000000000004
Kepler-1705,2,2.04,4.945
GJ 411,2,2.605,8.145
EPIC 206042996,2,1.45,2.7
TOI-942,2,4.28,26.5
K2-111,2,2.575,8.33
K2-290,2,7.168127,128.45021
nu Oph,2,12.0,7448.02822
Kepler-116,2,2.86,8.75
Kepler-97,2,1.48,173.755
Kepler-880,2,2.765,8.08
TOI-2096,2,1.5785,3.2
K2-413,2,0.9963,1.2065
K2-90,2,1.9500000000000002,4.755
TOI-1408,2,13.61,300.3
TYC 8998-760-1,2,12.31495,3178.3
K2-188,2,2.09,5.3950000000000005
