hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
Kepler-1321,3,3.31614594,11.753333333333332,769.146,294.528597,46.6408737
HD 28109,3,3.31,7.066666666666666,139.611,65.2383065,-68.1026875
Kepler-104,3,3.2699999999999996,10.761509706666667,400.785,287.6046621,42.1665104
Kepler-149,3,3.2600000000000002,11.54,571.034,285.8537014,38.3840916
Kepler-178,3,3.2433333333333336,10.733333333333334,716.025,287.1010275,46.8964033
Kepler-549,3,3.233333333333334,12.103333333333333,635.145,283.0228527,47.2611431
Kepler-247,3,3.223333333333333,11.243333333333332,663.711,288.6425609,43.0393769
Kepler-450,3,3.199,16.5,455.982,295.4865821,51.0135237
EPIC 249893012,3,3.186666666666666,11.200000000000001,321.296,228.2482353,-16.7246474
KOI-7892,3,3.1615575233333337,10.446666666666665,1072.3,282.3775397,44.694569
TOI-2141,3,3.155666666666667,13.713333333333333,77.682,258.7623456,18.3403449
Kepler-219,3,3.1133333333333333,13.536666666666667,787.07,288.7389481,46.7625929
TOI-451,3,3.026666666666667,9.903333333333332,123.739,62.966385,-37.93973
Kepler-275,3,3.016666666666667,9.526666666666666,2034.25,292.4797004,38.5149018
Kepler-619,3,3.0066666666666664,9.933333333333332,900.678,290.8490899,48.4159782
Kepler-351,3,2.99,7.916666666666667,1083.91,286.4527949,42.6577891
CoRoT-7,3,2.94045,9.872868393333334,159.906,100.9561682,-1.0630076
GJ 581,3,2.89,9.93,6.2981,229.8564725,-7.7226935
TOI-1117,3,2.8800000000000003,9.463333333333333,167.598,273.6020606,-66.4199742
Kepler-276,3,2.856666666666667,254.70299999999997,1144.86,293.568197,39.0363123
Kepler-254,3,2.84,8.1,1389.48,288.1646541,45.8164257
Kepler-616,3,2.831,8.5,945.775,294.989137,46.8383058
TOI-125,3,2.805,9.91,111.059,23.5934253,-66.6763495
Kepler-385,3,2.7962149333333337,11.12,1432.61,294.3385109,50.3365178
TOI-1260,3,2.763333333333333,11.199999999999998,73.5977,157.1440712,65.8541986
Kepler-228,3,2.7566666666666664,8.703333333333333,1644.61,296.2860853,48.2246328
Kepler-325,3,2.7466666666666666,7.996666666666667,823.242,289.8354219,49.825607
HD 96700,3,2.7433333333333336,8.366666666666667,25.4111,166.9742616,-30.1751383
Kepler-160,3,2.7375,39.06333333333333,937.013,287.773573,42.8692755
Kepler-53,3,2.7266666666666666,61.396899999999995,1366.07,290.4617926,40.5624966
Kepler-92,3,2.7256666666666667,27.422226866666662,477.992,289.0860607,41.5630224
K2-198,3,2.6833333333333336,8.476666666666667,110.567,198.8436817,-6.4649888
Kepler-357,3,2.6466666666666665,7.75,688.573,291.2429746,44.0086337
HD 48948,3,2.6333333333333333,7.579999999999999,16.9043,102.489811,60.3373133
Kepler-350,3,2.5833333333333335,12.633333333333333,956.859,285.4195845,39.7061009
GJ 180,3,2.5,6.816666666666667,11.9407,73.460097,-17.776194
Kepler-253,3,2.483333333333333,7.0,838.595,291.8419337,44.858124
HD 93385,3,2.4433333333333334,6.666666666666667,43.3475,161.5627065,-41.464604
Kepler-10,3,2.4383333333333335,8.843333333333334,185.506,285.679298,50.2414842
Kepler-218,3,2.4266666666666667,6.783333333333332,656.38,295.4128785,46.2665801
TOI-712,3,2.408,6.43,58.6212,92.9361063,-65.8258386
